H;E;Q;speed_mm_min
44.0;E3;0.35;3.949942404633642
44.0;E3;0.5;4.157139162368349
44.0;E3;0.6;4.174646896115225
44.56;E2;0.35;4.961825278945966
44.56;E2;0.5;5.0024561660877325
44.56;E2;0.6;5.0243284195529645
44.56;E3;0.35;3.39166785115685
44.56;E3;0.5;3.4235691140258857
44.56;E3;0.6;3.434366510785573
45.0;E1;0.35;3.3545329087469296
45.0;E1;0.5;3.479642679962243
45.0;E1;0.6;3.5915785369941196
45.0;E2;0.35;3.750490472687221
45.0;E2;0.5;4.206199512221116
45.0;E2;0.6;4.657522842639594
45.0;E3;0.35;4.046472163639083
45.0;E3;0.5;4.385192333658307
45.0;E3;0.6;4.747572815533981
45.0;E4;0.35;3.9776872685556177
45.0;E4;0.5;3.981610810939279
45.0;E4;0.6;3.981610810939279
46.0;E1;0.35;3.5001465547014456
46.0;E1;0.5;3.9768561872909705
46.0;E1;0.6;4.399279151851552
46.0;E2;0.35;4.009776032090924
46.0;E2;0.5;4.3350208526413345
46.0;E2;0.6;4.574999999999999
46.0;E3;0.35;3.7004606133887448
46.0;E3;0.5;3.741760397020316
46.0;E3;0.6;3.898392227593259
46.0;E4;0.35;5.233227316899947
46.0;E4;0.5;5.233227316899947
46.0;E4;0.6;5.233227316899947
47.0;E1;0.35;3.566927422859626
47.0;E1;0.5;4.6836233824185625
47.0;E1;0.6;4.799999999999999
47.0;E2;0.35;3.3373859735995715
47.0;E2;0.5;3.794117647058824
47.0;E2;0.6;4.03125
47.0;E3;0.35;4.289336661460236
47.0;E3;0.5;5.053058984892791
47.0;E3;0.6;5.562207200514493
47.0;E4;0.35;5.496045735790868
47.0;E4;0.5;5.496045735790868
47.0;E4;0.6;5.496045735790868
48.0;E1;0.35;3.25369337979094
48.0;E1;0.5;3.273657203428887
48.0;E1;0.6;3.2845961781232202
48.0;E2;0.35;3.759146341463415
48.0;E2;0.5;3.912772585669782
48.0;E2;0.6;4.346280991735537
48.0;E3;0.35;3.831337303219839
48.0;E3;0.5;3.838247621195028
48.0;E3;0.6;3.8451579391702166
49.0;E2;0.35;6.117941502865804
49.0;E2;0.5;6.122800868634561
49.0;E2;0.6;6.126040445813733
50.0;E1;0.35;3.3204373423044573
50.0;E1;0.5;3.6120408163265303
50.0;E1;0.6;3.794247981686463
50.0;E2;0.35;3.949499512259377
50.0;E2;0.5;4.35143289701118
50.0;E2;0.6;4.798745464395643
50.0;E3;0.35;3.445475645081221
50.0;E3;0.5;3.885260112078499
50.0;E3;0.6;4.17910447761194
50.0;E4;0.35;6.396980570091571
50.0;E4;0.5;6.40993143533555
50.0;E4;0.6;6.40993143533555
50.0;E5;0.35;4.595664741690334
50.0;E5;0.5;4.608600338544173
50.0;E5;0.6;4.608600338544173
50.0;E501;0.35;3.128498004709708
50.0;E501;0.5;3.1319876845811074
50.0;E501;0.6;3.1354773644525067
50.0;E6;0.35;4.623664315789263
50.0;E6;0.5;4.623664315789263
50.0;E6;0.6;4.623664315789263
51.0;E1;0.35;3.103641573231583
51.0;E1;0.5;3.4438203592814376
51.0;E1;0.6;4.022781463160635
51.0;E2;0.35;3.579723177109818
51.0;E2;0.5;3.771798742650719
51.0;E2;0.6;3.9691685624421935
51.0;E3;0.35;4.783578034682081
51.0;E3;0.5;4.869510574227268
51.0;E3;0.6;4.955443113772455
52.0;E1;0.35;3.433188398040103
52.0;E1;0.5;3.715116279069768
52.0;E1;0.6;3.939141069144855
52.0;E2;0.35;3.783755318755016
52.0;E2;0.5;4.4035863545779685
52.0;E2;0.6;4.57843867519723
52.0;E3;0.35;4.253235222896491
52.0;E3;0.5;5.253904848835237
52.0;E3;0.6;5.921017932794402
52.0;E4;0.35;5.917758818702361
52.0;E4;0.5;5.934887033248356
52.0;E4;0.6;5.952015247794351
52.8;E1;0.35;3.758486692015209
52.8;E1;0.5;3.758486692015209
52.8;E1;0.6;3.758486692015209
53.0;E1;0.35;3.5946418051323636
53.0;E1;0.5;4.1192897531138915
53.0;E1;0.6;4.135602836879433
53.0;E2;0.35;3.5957435138476264
53.0;E2;0.5;4.687310144952892
53.0;E2;0.6;4.823569160794547
53.0;E3;0.35;3.9803633327337473
53.0;E3;0.5;4.14826947828331
53.0;E3;0.6;4.173538124851533
53.0;E4;0.35;6.14558441227157
53.0;E4;0.5;6.14558441227157
53.0;E4;0.6;6.14558441227157
54.0;E1;0.35;3.304742629482072
54.0;E1;0.5;3.4776579140923802
54.0;E1;0.6;3.742581818181818
54.0;E2;0.35;3.563959793647629
54.0;E2;0.5;3.765765820545615
54.0;E2;0.6;4.091284519142033
54.0;E3;0.35;6.259969232127725
54.0;E3;0.5;6.259969232127725
54.0;E3;0.6;6.259969232127725
54.0;E502;0.35;3.435114503816794
54.0;E502;0.5;3.5068216654272835
54.0;E502;0.6;3.5785288270377733
55.0;E1;0.35;3.612601103970229
55.0;E1;0.5;3.9375
55.0;E1;0.6;4.050281524926687
55.0;E2;0.35;3.9914107996030177
55.0;E2;0.5;4.464
55.0;E2;0.6;4.824362811270996
55.0;E3;0.35;3.99528123097224
55.0;E3;0.5;4.002871073127078
55.0;E3;0.6;4.267354769310845
56.0;E1;0.35;3.3631863354037264
56.0;E1;0.5;3.870819087988518
56.0;E1;0.6;4.064536082474227
56.0;E2;0.35;3.503014493210121
56.0;E2;0.5;4.221354174096248
56.0;E2;0.6;4.555401392293249
56.0;E3;0.35;4.910855123961301
56.0;E3;0.5;4.912022661258157
56.0;E3;0.6;4.913190198555013
56.0;E4;0.35;5.433962264150943
56.0;E4;0.5;5.433962264150943
56.0;E4;0.6;5.433962264150943
56.0;E5;0.35;5.624226118607929
56.0;E5;0.5;5.624226118607929
